wall_ts,node,seq,sample_index,value
1778045171.79854,1,599,12,65535
1778045171.79854,1,599,13,65535
1778045171.79854,1,599,14,65535
1778045171.79854,1,599,15,65535
1778045171.79854,1,599,16,65535
1778045171.79854,1,599,17,65535
1778045171.79854,1,599,18,65535
1778045171.79854,1,599,19,65535
1778045171.79854,1,599,20,65535
1778045171.79854,1,599,21,65535
1778045171.79854,1,599,22,65535
1778045171.79854,1,599,23,65535
1778045171.79854,1,599,24,65535
1778045171.79854,1,599,25,65535
1778045171.79854,1,599,26,65535
1778045171.79854,1,599,27,65535
1778045171.79854,1,599,28,65535
1778045171.79854,1,599,29,65535
1778045171.79854,1,599,30,65535
1778045171.79854,1,599,31,65535
1778045171.903828,1,600,0,65535
1778045171.903828,1,600,1,65535
1778045171.903828,1,600,2,65535
1778045171.903828,1,600,3,65535
1778045171.903828,1,600,4,65535
1778045171.903828,1,600,5,65535
1778045171.903828,1,600,6,65535
1778045171.903828,1,600,7,65535
1778045171.903828,1,600,8,65535
1778045171.903828,1,600,9,65535
1778045171.903828,1,600,10,65535
1778045171.903828,1,600,11,65535
1778045171.903828,1,600,12,65535
1778045171.903828,1,600,13,65535
1778045171.903828,1,600,14,65535
1778045171.903828,1,600,15,65535
1778045171.903828,1,600,16,65535
1778045171.903828,1,600,17,65535
1778045171.903828,1,600,18,65535
1778045171.903828,1,600,19,65535
1778045171.903828,1,600,20,65535
1778045171.903828,1,600,21,65535
1778045171.903828,1,600,22,65535
1778045171.903828,1,600,23,65535
1778045171.903828,1,600,24,65535
1778045171.903828,1,600,25,65535
1778045171.903828,1,600,26,65535
1778045171.903828,1,600,27,65535
1778045171.903828,1,600,28,65535
1778045171.903828,1,600,29,65535
1778045171.903828,1,600,30,65535
1778045171.903828,1,600,31,65535
1778045172.008428,1,601,0,65535
1778045172.008428,1,601,1,65535
1778045172.008428,1,601,2,65535
1778045172.008428,1,601,3,65535
1778045172.008428,1,601,4,65535
1778045172.008428,1,601,5,65535
1778045172.008428,1,601,6,65535
1778045172.008428,1,601,7,65535
1778045172.008428,1,601,8,65535
1778045172.008428,1,601,9,65535
1778045172.008428,1,601,10,65535
1778045172.008428,1,601,11,65535
1778045172.008428,1,601,12,65535
1778045172.008428,1,601,13,65535
1778045172.008428,1,601,14,65535
